Vivado Simulator 2018.2
Time resolution is 1 ps
Time: 2015000 | rst: 0 | dout: 0 | count: 97 | ton: 50 | state: 10
Time: 2025000 | rst: 0 | dout: 0 | count: 98 | ton: 50 | state: 10
Time: 2035000 | rst: 0 | dout: 0 | count: 99 | ton: 50 | state: 10
Time: 2045000 | rst: 0 | dout: 0 | count: 100 | ton: 50 | state: 10
Time: 2055000 | rst: 0 | dout: 0 | count: 100 | ton: 50 | state: 11
Time: 2065000 | rst: 0 | dout: 0 | count: 0 | ton: 0 | state: 00
Time: 2075000 | rst: 0 | dout: 1 | count: 1 | ton: 5 | state: 00
Time: 2085000 | rst: 0 | dout: 1 | count: 2 | ton: 10 | state: 00
Time: 2095000 | rst: 0 | dout: 1 | count: 3 | ton: 15 | state: 00
Time: 2105000 | rst: 0 | dout: 1 | count: 4 | ton: 20 | state: 00
Time: 2115000 | rst: 0 | dout: 1 | count: 5 | ton: 25 | state: 00
Time: 2125000 | rst: 0 | dout: 1 | count: 6 | ton: 30 | state: 00
Time: 2135000 | rst: 0 | dout: 1 | count: 7 | ton: 35 | state: 00
Time: 2145000 | rst: 0 | dout: 1 | count: 8 | ton: 40 | state: 00
Time: 2155000 | rst: 0 | dout: 1 | count: 9 | ton: 45 | state: 00
Time: 2165000 | rst: 0 | dout: 1 | count: 10 | ton: 50 | state: 00
Time: 2175000 | rst: 0 | dout: 1 | count: 10 | ton: 50 | state: 10
Time: 2185000 | rst: 0 | dout: 0 | count: 11 | ton: 50 | state: 10
Time: 2195000 | rst: 0 | dout: 0 | count: 12 | ton: 50 | state: 10
Time: 2205000 | rst: 0 | dout: 0 | count: 13 | ton: 50 | state: 10
Time: 2215000 | rst: 0 | dout: 0 | count: 14 | ton: 50 | state: 10
Time: 2225000 | rst: 0 | dout: 0 | count: 15 | ton: 50 | state: 10
Time: 2235000 | rst: 0 | dout: 0 | count: 16 | ton: 50 | state: 10
Time: 2245000 | rst: 0 | dout: 0 | count: 17 | ton: 50 | state: 10
Time: 2255000 | rst: 0 | dout: 0 | count: 18 | ton: 50 | state: 10
Time: 2265000 | rst: 0 | dout: 0 | count: 19 | ton: 50 | state: 10
Time: 2275000 | rst: 0 | dout: 0 | count: 20 | ton: 50 | state: 10
Time: 2285000 | rst: 0 | dout: 0 | count: 21 | ton: 50 | state: 10
Time: 2295000 | rst: 0 | dout: 0 | count: 22 | ton: 50 | state: 10
Time: 2305000 | rst: 0 | dout: 0 | count: 23 | ton: 50 | state: 10
Time: 2315000 | rst: 0 | dout: 0 | count: 24 | ton: 50 | state: 10
Time: 2325000 | rst: 0 | dout: 0 | count: 25 | ton: 50 | state: 10
Time: 2335000 | rst: 0 | dout: 0 | count: 26 | ton: 50 | state: 10
Time: 2345000 | rst: 0 | dout: 0 | count: 27 | ton: 50 | state: 10
Time: 2355000 | rst: 0 | dout: 0 | count: 28 | ton: 50 | state: 10
Time: 2365000 | rst: 0 | dout: 0 | count: 29 | ton: 50 | state: 10
Time: 2375000 | rst: 0 | dout: 0 | count: 30 | ton: 50 | state: 10
Time: 2385000 | rst: 0 | dout: 0 | count: 31 | ton: 50 | state: 10
Time: 2395000 | rst: 0 | dout: 0 | count: 32 | ton: 50 | state: 10
Time: 2405000 | rst: 0 | dout: 0 | count: 33 | ton: 50 | state: 10
Time: 2415000 | rst: 0 | dout: 0 | count: 34 | ton: 50 | state: 10
Time: 2425000 | rst: 0 | dout: 0 | count: 35 | ton: 50 | state: 10
Time: 2435000 | rst: 0 | dout: 0 | count: 36 | ton: 50 | state: 10
Time: 2445000 | rst: 0 | dout: 0 | count: 37 | ton: 50 | state: 10
Time: 2455000 | rst: 0 | dout: 0 | count: 38 | ton: 50 | state: 10
Time: 2465000 | rst: 0 | dout: 0 | count: 39 | ton: 50 | state: 10
Time: 2475000 | rst: 0 | dout: 0 | count: 40 | ton: 50 | state: 10
Time: 2485000 | rst: 0 | dout: 0 | count: 41 | ton: 50 | state: 10
Time: 2495000 | rst: 0 | dout: 0 | count: 42 | ton: 50 | state: 10
Time: 2505000 | rst: 0 | dout: 0 | count: 43 | ton: 50 | state: 10
Time: 2515000 | rst: 0 | dout: 0 | count: 44 | ton: 50 | state: 10
Time: 2525000 | rst: 0 | dout: 0 | count: 45 | ton: 50 | state: 10
Time: 2535000 | rst: 0 | dout: 0 | count: 46 | ton: 50 | state: 10
Time: 2545000 | rst: 0 | dout: 0 | count: 47 | ton: 50 | state: 10
Time: 2555000 | rst: 0 | dout: 0 | count: 48 | ton: 50 | state: 10
Time: 2565000 | rst: 0 | dout: 0 | count: 49 | ton: 50 | state: 10
Time: 2575000 | rst: 0 | dout: 0 | count: 50 | ton: 50 | state: 10
Time: 2585000 | rst: 0 | dout: 0 | count: 51 | ton: 50 | state: 10
Time: 2595000 | rst: 0 | dout: 0 | count: 52 | ton: 50 | state: 10
Time: 2605000 | rst: 0 | dout: 0 | count: 53 | ton: 50 | state: 10
Time: 2615000 | rst: 0 | dout: 0 | count: 54 | ton: 50 | state: 10
Time: 2625000 | rst: 0 | dout: 0 | count: 55 | ton: 50 | state: 10
Time: 2635000 | rst: 0 | dout: 0 | count: 56 | ton: 50 | state: 10
Time: 2645000 | rst: 0 | dout: 0 | count: 57 | ton: 50 | state: 10
Time: 2655000 | rst: 0 | dout: 0 | count: 58 | ton: 50 | state: 10
Time: 2665000 | rst: 0 | dout: 0 | count: 59 | ton: 50 | state: 10
Time: 2675000 | rst: 0 | dout: 0 | count: 60 | ton: 50 | state: 10
Time: 2685000 | rst: 0 | dout: 0 | count: 61 | ton: 50 | state: 10
Time: 2695000 | rst: 0 | dout: 0 | count: 62 | ton: 50 | state: 10
Time: 2705000 | rst: 0 | dout: 0 | count: 63 | ton: 50 | state: 10
Time: 2715000 | rst: 0 | dout: 0 | count: 64 | ton: 50 | state: 10
Time: 2725000 | rst: 0 | dout: 0 | count: 65 | ton: 50 | state: 10
Time: 2735000 | rst: 0 | dout: 0 | count: 66 | ton: 50 | state: 10
Time: 2745000 | rst: 0 | dout: 0 | count: 67 | ton: 50 | state: 10
Time: 2755000 | rst: 0 | dout: 0 | count: 68 | ton: 50 | state: 10
Time: 2765000 | rst: 0 | dout: 0 | count: 69 | ton: 50 | state: 10
Time: 2775000 | rst: 0 | dout: 0 | count: 70 | ton: 50 | state: 10
Time: 2785000 | rst: 0 | dout: 0 | count: 71 | ton: 50 | state: 10
Time: 2795000 | rst: 0 | dout: 0 | count: 72 | ton: 50 | state: 10
Time: 2805000 | rst: 0 | dout: 0 | count: 73 | ton: 50 | state: 10
Time: 2815000 | rst: 0 | dout: 0 | count: 74 | ton: 50 | state: 10
Time: 2825000 | rst: 0 | dout: 0 | count: 75 | ton: 50 | state: 10
Time: 2835000 | rst: 0 | dout: 0 | count: 76 | ton: 50 | state: 10
Time: 2845000 | rst: 0 | dout: 0 | count: 77 | ton: 50 | state: 10
Time: 2855000 | rst: 0 | dout: 0 | count: 78 | ton: 50 | state: 10
Time: 2865000 | rst: 0 | dout: 0 | count: 79 | ton: 50 | state: 10
Time: 2875000 | rst: 0 | dout: 0 | count: 80 | ton: 50 | state: 10
Time: 2885000 | rst: 0 | dout: 0 | count: 81 | ton: 50 | state: 10
Time: 2895000 | rst: 0 | dout: 0 | count: 82 | ton: 50 | state: 10
Time: 2905000 | rst: 0 | dout: 0 | count: 83 | ton: 50 | state: 10
Time: 2915000 | rst: 0 | dout: 0 | count: 84 | ton: 50 | state: 10
Time: 2925000 | rst: 0 | dout: 0 | count: 85 | ton: 50 | state: 10
Time: 2935000 | rst: 0 | dout: 0 | count: 86 | ton: 50 | state: 10
Time: 2945000 | rst: 0 | dout: 0 | count: 87 | ton: 50 | state: 10
Time: 2955000 | rst: 0 | dout: 0 | count: 88 | ton: 50 | state: 10
Time: 2965000 | rst: 0 | dout: 0 | count: 89 | ton: 50 | state: 10
Time: 2975000 | rst: 0 | dout: 0 | count: 90 | ton: 50 | state: 10
Time: 2985000 | rst: 0 | dout: 0 | count: 91 | ton: 50 | state: 10
Time: 2995000 | rst: 0 | dout: 0 | count: 92 | ton: 50 | state: 10
Time: 3005000 | rst: 0 | dout: 0 | count: 93 | ton: 50 | state: 10
Time: 3015000 | rst: 0 | dout: 0 | count: 94 | ton: 50 | state: 10
Time: 3025000 | rst: 0 | dout: 0 | count: 95 | ton: 50 | state: 10
Time: 3035000 | rst: 0 | dout: 0 | count: 96 | ton: 50 | state: 10
Time: 3045000 | rst: 0 | dout: 0 | count: 97 | ton: 50 | state: 10
